BLOCK_ID,geometry,id,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,IDDIST,area_km2
16611F006S,"POLYGON Z ((-77.105889 -12.059756 0, -77.1058906416328 -12.0597402371378 0, -77.105903 -12.059741 0, -77.106313 -12.059771 0, -77.106442 -12.058806 0, -77.106275 -12.058788 0, -77.106259 -12.058302 0, -77.105804 -12.058267 0, -77.105999 -12.057282 0, -77.105534 -12.057153 0, -77.105242 -12.05801 0, -77.104683 -12.057953 0, -77.104613 -12.058652 0, -77.104295 -12.058642 0, -77.104206 -12.059579 0, -77.104374 -12.059621 0, -77.104337 -12.060933 0, -77.104964 -12.061056 0, -77.105023 -12.060613 0, -77.105975 -12.060714 0, -77.105933 -12.061123 0, -77.106434 -12.061149 0, -77.106519 -12.059833 0, -77.105889 -12.059756 0), (-77.1058906416328 -12.0597402371378 0, -77.105093 -12.059691 0, -77.105168 -12.058682 0, -77.105992 -12.058767 0, -77.1058906416328 -12.0597402371378 0))",,16611F006S,,,,,,-1,0,-1,,,70102.0,0.0632476635415448
16611U002S,"POLYGON Z ((-77.132597 -12.06264 0, -77.133774 -12.062888 0, -77.133981 -12.061382 0, -77.131896 -12.060819 0, -77.130455 -12.060398 0, -77.131363 -12.063024 0, -77.132597 -12.06264 0))",,16611U002S,,,,,,-1,0,-1,,,70102.0,0.06711190722306445
16611U029S,"POLYGON Z ((-77.114723 -12.060374 0, -77.115019 -12.060709 0, -77.115594 -12.060399 0, -77.114656 -12.058843 0, -77.112835 -12.059861 0, -77.113768 -12.06147 0, -77.114152 -12.061231 0, -77.11396 -12.060816 0, -77.114723 -12.060374 0))",,16611U029S,,,,,,-1,0,-1,,,70102.0,0.04108740999769792
16611U037S,"POLYGON Z ((-77.107773 -12.055575 0, -77.107334 -12.05753 0, -77.111236 -12.058402 0, -77.111427 -12.057464 0, -77.110799 -12.05738 0, -77.110736 -12.057794 0, -77.108517 -12.057338 0, -77.108916 -12.055793 0, -77.107773 -12.055575 0))",,16611U037S,,,,,,-1,0,-1,,,70102.0,0.04717705057247169
16611U038S,"POLYGON Z ((-77.106138 -12.061651 0, -77.106044 -12.063135 0, -77.108622 -12.06333 0, -77.108866 -12.062004 0, -77.106616 -12.061608 0, -77.106138 -12.061651 0))",,16611U038S,,,,,,-1,0,-1,,,70102.0,0.04717514042287506
16611U039S,"POLYGON Z ((-77.106491 -12.061173 0, -77.105926 -12.061129 0, -77.105962 -12.060703 0, -77.105018 -12.06061 0, -77.104955 -12.061072 0, -77.104764 -12.063062 0, -77.105996 -12.06318 0, -77.106149 -12.061605 0, -77.10647 -12.061564 0, -77.106491 -12.061173 0))",,16611U039S,,,,,,-1,0,-1,,,70102.0,0.03689948631336959
16611U040S,"POLYGON Z ((-77.105429 -12.057111 0, -77.105429 -12.057122 0, -77.105761 -12.055241 0, -77.105361 -12.055025 0, -77.104328 -12.054932 0, -77.104225 -12.05541 0, -77.104367 -12.055476 0, -77.104276 -12.056068 0, -77.100902 -12.057827 0, -77.101019 -12.058006 0, -77.10121 -12.057958 0, -77.103842 -12.056615 0, -77.103918 -12.056849 0, -77.105429 -12.057111 0))",,16611U040S,,,,,,-1,0,-1,,,70102.0,0.045982778177969155
16612F002S,"POLYGON Z ((-77.096077 -12.041934 0, -77.096728 -12.042064 0, -77.096615 -12.042629 0, -77.096949 -12.042717 0, -77.097226 -12.041559 0, -77.09521 -12.041181 0, -77.095058 -12.041743 0, -77.09569 -12.041912 0, -77.095586 -12.042455 0, -77.095441 -12.042926 0, -77.095281 -12.04341 0, -77.095575 -12.04355 0, -77.095782 -12.043121 0, -77.096493 -12.043264 0, -77.096598 -12.042629 0, -77.095936 -12.042528 0, -77.096077 -12.041934 0))",,16612F002S,,,,,,-1,0,-1,,,70103.0,0.02973208799242787
16612U002S,"POLYGON Z ((-77.088083 -12.038559 0, -77.088329 -12.037458 0, -77.085093 -12.036938 0, -77.084873 -12.038576 0, -77.087126 -12.038907 0, -77.087231 -12.038385 0, -77.088083 -12.038559 0))",,16612U002S,,,,,,-1,0,-1,,,70103.0,0.057714233333362265
16612U008S,"POLYGON Z ((-77.083174 -12.043897 0, -77.084169 -12.044009 0, -77.084138 -12.044345 0, -77.084816 -12.044412 0, -77.084931 -12.043412 0, -77.083215 -12.043298 0, -77.083174 -12.043897 0))",,16612U008S,,,,,,-1,0,-1,,,70103.0,0.015870359330092558
